lot_id,die_attach_temp,bond_force,epoxy_volume,die_attach_void_percent,cure_temp,cure_time,cure_ramp_rate,mold_temp,mold_pressure,transfer_speed,vacuum_level,mold_void_count,pmc_temp,pmc_time,cooling_rate,warpage_mm,floor_life_hours,moisture_content,reflow_peak_temp,reflow_ramp_rate,time_above_liquidus,da_temp_zone,bond_force_zone,epoxy_volume_zone,da_void_zone,cure_temp_zone,cure_time_zone,cure_ramp_zone,mold_temp_zone,mold_pressure_zone,transfer_speed_zone,vacuum_zone,mold_void_zone,pmc_temp_zone,pmc_time_zone,cooling_zone,warpage_zone,floor_life_zone,moisture_zone,peak_temp_zone,reflow_ramp_zone,tal_zone,da_temp_risk,bond_force_risk,epoxy_volume_risk,da_void_risk,cure_temp_risk,cure_time_risk,cure_ramp_risk,mold_temp_risk,mold_pressure_risk,transfer_speed_risk,vacuum_risk,mold_void_risk,pmc_temp_risk,pmc_time_risk,cooling_risk,warpage_risk,floor_life_risk,moisture_risk,peak_temp_risk,reflow_ramp_risk,tal_risk,die_attach_score,die_attach_cure_score,moulding_score,pmc_score,reflow_score,die_attach_class,die_attach_cure_class,moulding_class,pmc_class,reflow_class,overall_risk,overall_class,danger_trigger_stage,final_action
LOT_0001,152.98,19.59,105.18,10.09,163.13,56.49,7.37,179.6,76.24,1.11,0.41,1,171.69,55.56,1.41,0.035,0.0,0.297,237.74,1.37,133.97,Normal,Normal,Warning,Danger,Normal,Normal,Warning,Normal,Normal,Warning,Normal,Normal,Normal,Danger,Danger,Normal,Normal,Normal,Normal,Normal,Warning,0.0,0.0,0.5,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.15,0.075,0.4,0.1,Medium,Low,Low,Medium,Low,0.226,Low,Die Attach,Immediate Hold / Halt
LOT_0002,148.65,20.2,88.6,1.82,165.89,42.74,5.56,171.4,77.67,0.88,0.87,2,162.6,104.81,2.17,0.097,0.0,0.051,246.57,3.09,95.14,Normal,Normal,Danger,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Danger,Normal,Warning,Warning,Warning,Normal,Normal,Normal,Normal,Warning,Normal,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.2,0.175,0.225,0.3,0.1,Low,Low,Low,Low,Low,0.193,Low,Die Attach,Immediate Hold / Halt
LOT_0003,149.31,19.1,88.17,1.12,161.31,75.86,5.52,164.42,82.59,0.92,0.36,4,177.22,106.76,2.74,0.055,31.95,0.396,241.17,2.35,56.81,Normal,Normal,Danger,Normal,Normal,Warning,Normal,Danger,Normal,Normal,Warning,Warning,Warning,Warning,Warning,Normal,Normal,Warning,Normal,Normal,Normal,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.2,0.175,0.425,0.3,0.1,Low,Low,Medium,Low,Low,0.242,Low,Die Attach,Immediate Hold / Halt
LOT_0004,142.82,22.44,110.85,3.71,173.03,65.42,4.03,177.17,92.3,0.99,0.81,0,175.75,91.57,3.55,0.087,0.0,0.217,247.86,3.68,74.45,Warning,Warning,Danger,Normal,Warning,Normal,Normal,Normal,Danger,Normal,Danger,Normal,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Danger,Normal,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.175,0.35,0.1,0.2,Medium,Low,Medium,Low,Low,0.259,Low,Die Attach,Immediate Hold / Halt
LOT_0005,145.15,18.49,107.32,5.32,160.76,67.7,5.15,180.81,74.38,0.93,0.42,0,172.07,94.7,4.01,0.061,0.0,0.187,242.26,1.86,85.16,Normal,Normal,Warning,Warning,Normal,Normal,Normal,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.2,0.0,0.0,Low,Low,Low,Low,Low,0.11,Low,None,Continue
LOT_0006,152.42,25.66,101.4,5.03,164.4,31.22,4.96,175.36,99.71,0.96,0.56,2,161.82,110.57,5.13,0.143,2.17,0.46,233.79,2.97,155.71,Normal,Danger,Normal,Warning,Normal,Danger,Normal,Normal,Danger,Normal,Normal,Normal,Warning,Warning,Warning,Warning,Normal,Warning,Normal,Normal,Danger,0.0,1.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.4,0.35,0.2,0.5,0.3,Medium,Medium,Low,Medium,Low,0.333,Medium,Die Attach,Immediate Hold / Halt
LOT_0007,144.06,18.3,100.8,1.99,152.59,61.03,3.41,177.84,72.64,1.31,0.34,1,175.69,67.84,4.34,0.185,0.0,0.278,247.08,3.13,52.89,Warning,Normal,Normal,Normal,Warning,Normal,Normal,Normal,Warning,Danger,Warning,Normal,Warning,Warning,Normal,Warning,Normal,Normal,Normal,Warning,Normal,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.1,0.175,0.325,0.4,0.1,Low,Low,Low,Medium,Low,0.212,Low,Moulding,Immediate Hold / Halt
LOT_0008,142.08,21.57,102.38,5.0,167.77,49.8,5.35,176.76,74.29,1.37,0.59,0,174.6,72.46,5.18,0.173,4.3,0.395,248.3,3.16,146.9,Warning,Normal,Normal,Warning,Normal,Warning,Normal,Normal,Warning,Danger,Normal,Normal,Normal,Warning,Warning,Warning,Normal,Warning,Normal,Warning,Warning,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.3,0.175,0.25,0.4,0.3,Low,Low,Low,Medium,Low,0.284,Low,Moulding,Immediate Hold / Halt
LOT_0009,148.53,17.74,92.88,0.74,164.38,65.12,5.42,179.96,80.1,1.29,0.45,10,174.38,74.57,2.39,0.119,18.64,0.357,248.79,2.44,64.6,Normal,Warning,Warning,Normal,Normal,Normal,Normal,Normal,Normal,Warning,Normal,Danger,Normal,Warning,Warning,Warning,Normal,Warning,Normal,Normal,Normal,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.2,0.0,0.375,0.4,0.1,Low,Low,Medium,Medium,Low,0.219,Low,Moulding,Immediate Hold / Halt
LOT_0010,140.91,18.66,106.85,4.86,155.03,62.6,5.58,169.7,81.23,1.01,0.27,3,173.93,109.49,5.58,0.0,1.49,0.327,249.11,2.91,205.58,Warning,Normal,Warning,Normal,Warning,Normal,Normal,Warning,Normal,Normal,Warning,Warning,Normal,Warning,Warning,Normal,Normal,Warning,Normal,Normal,Danger,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,1.0,0.2,0.175,0.325,0.2,0.3,Low,Low,Low,Low,Low,0.253,Low,Solder Reflow,Immediate Hold / Halt
